Features,Shap Values
APPROVED_DAYS_DECISION_MIN,0.021698817729563866
INSTAL_AMT_INSTALMENT_MAX,0.021653369957744088
INSTAL_DBD_SUM,0.02164422221637832
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.021626855086093782
PREV_PRODUCT_COMBINATION_CashXSelllow_MEAN,0.02142336844840592
DEF_60_CNT_SOCIAL_CIRCLE,0.021396660710558662
OCCUPATION_TYPE_Corestaff,0.02130524761256757
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.021089779160945524
INSTAL_PAYMENT_PERC_MEAN,0.02069498350194948
NAME_INCOME_TYPE_Stateservant,0.02067065879595829
PREV_AMT_CREDIT_MIN,0.02044637990518676
APPROVED_RATE_DOWN_PAYMENT_MAX,0.02031535846036609
INSTAL_AMT_PAYMENT_MEAN,0.019757528813747014
CC_NAME_CONTRACT_STATUS_Active_MIN,0.01936217054590456
INSTAL_PAYMENT_PERC_SUM,0.019296537262574937
APPROVED_APP_CREDIT_PERC_MAX,0.01929016640202489
DAYS_REGISTRATION,0.018988578411319092
NAME_INCOME_TYPE_Pensioner,0.01889751216273047
BURO_STATUS_2_MEAN_MEAN,0.018428361026475666
PREV_AMT_DOWN_PAYMENT_MEAN,0.01824097412097868
OCCUPATION_TYPE_Salesstaff,0.018097825114416946
BURO_STATUS_1_MEAN_MEAN,0.018015102561480683
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0.017823052448121844
REFUSED_AMT_DOWN_PAYMENT_MIN,0.017442216058877528
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,0.01739399302294664
NAME_FAMILY_STATUS_Separated,0.017243652337618688
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,0.017122969780494234
APPROVED_APP_CREDIT_PERC_MIN,0.01698385011465694
PREV_NAME_TYPE_SUITE_nan_MEAN,0.016801630348364443
NONLIVINGAPARTMENTS_MODE,0.016668235701578025
BURO_CREDIT_ACTIVE_Active_MEAN,0.016572343137594744
APPROVED_AMT_DOWN_PAYMENT_MAX,0.01622573208816534
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,0.016184573518555487
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0.016173083357433272
INSTAL_PAYMENT_DIFF_MEAN,0.016113336988969905
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.015657153202177906
CLOSED_AMT_CREDIT_SUM_SUM,0.015513948869103076
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.015446470137942845
PREV_RATE_DOWN_PAYMENT_MIN,0.015329912599334215
ORGANIZATION_TYPE_School,0.015000725840984509
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.014977750245736391
BURO_STATUS_C_MEAN_MEAN,0.014825313317175468
PREV_DAYS_DECISION_MIN,0.014678750464411403
PREV_HOUR_APPR_PROCESS_START_MAX,0.014548542307077047
CC_CNT_DRAWINGS_CURRENT_MAX,0.014544729369393107
INSTAL_PAYMENT_DIFF_MAX,0.014413196614203047
PREV_AMT_ANNUITY_MAX,0.014258040146746236
APPROVED_APP_CREDIT_PERC_VAR,0.014215316648359354
PREV_PRODUCT_COMBINATION_CashStreetlow_MEAN,0.014181071789345214
BURO_AMT_CREDIT_SUM_MEAN,0.014160187782133906
BURO_AMT_CREDIT_SUM_SUM,0.01413918284040479
REFUSED_CNT_PAYMENT_MEAN,0.013990783051489436
APPROVED_RATE_DOWN_PAYMENT_MEAN,0.013970034238081743
BURO_AMT_CREDIT_SUM_MAX,0.013911422669519604
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.013787708865159093
BURO_DAYS_CREDIT_MIN,0.01376575785242708
PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,0.013700665929818678
FLOORSMAX_AVG,0.013546204391131673
ORGANIZATION_TYPE_Construction,0.013336461511696084
PREV_APP_CREDIT_PERC_MIN,0.013287125441099494
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.013259705167747944
INSTAL_DBD_MEAN,0.013031107595791668
AMT_REQ_CREDIT_BUREAU_DAY,0.013015790056252967
NAME_CONTRACT_TYPE_Cashloans,0.012989029430631913
POS_MONTHS_BALANCE_MEAN,0.01266392056610832
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0.012592224486823528
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,0.012533912148537012
ACTIVE_AMT_CREDIT_SUM_MAX,0.012496978682458472
REFUSED_CNT_PAYMENT_SUM,0.01243279831360029
INSTAL_COUNT,0.01227023803009739
BURO_DAYS_CREDIT_MEAN,0.012241337860471015
APPROVED_AMT_DOWN_PAYMENT_MEAN,0.012173044691259892
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,0.012140548873510864
CC_CNT_DRAWINGS_CURRENT_VAR,0.012121846948819792
PREV_APP_CREDIT_PERC_MEAN,0.011787695965081415
BURO_DAYS_CREDIT_ENDDATE_MAX,0.011746770131111443
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.011693137489072051
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.011596676165295503
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.011536668534676003
ACTIVE_CREDIT_DAY_OVERDUE_MAX,0.011532290072691775
ORGANIZATION_TYPE_Kindergarten,0.011484884553033526
APPROVED_DAYS_DECISION_MAX,0.011346778613312044
AMT_INCOME_TOTAL,0.011143121174121669
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.011024338235446355
ACTIVE_AMT_CREDIT_SUM_MEAN,0.010913996650790786
POS_NAME_CONTRACT_STATUS_Active_MEAN,0.010884269433851455
CLOSED_DAYS_CREDIT_VAR,0.010877493803560524
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.010719942917866142
YEARS_BEGINEXPLUATATION_MEDI,0.010667531609671571
PREV_CODE_REJECT_REASON_XAP_MEAN,0.01061981970573079
YEARS_BEGINEXPLUATATION_MODE,0.010495490563606796
APPROVED_AMT_ANNUITY_MAX,0.010397009014079129
PREV_CODE_REJECT_REASON_HC_MEAN,0.010353238544362585
BURO_DAYS_CREDIT_MAX,0.010263223056243297
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.010144711978486043
INSTAL_AMT_PAYMENT_MIN,0.010032454819920307
PREV_NAME_YIELD_GROUP_middle_MEAN,0.009997758521870551
INCOME_CREDIT_PERC,0.009995458716791973
INCOME_PER_PERSON,0.0099581561907008
POS_NAME_CONTRACT_STATUS_Completed_MEAN,0.009949331909979063
YEARS_BEGINEXPLUATATION_AVG,0.009906024339494768
APPROVED_AMT_GOODS_PRICE_MEAN,0.00989667133020252
CLOSED_AMT_CREDIT_SUM_MEAN,0.009861625933651672
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.009843336961894393
BURO_MONTHS_BALANCE_SIZE_SUM,0.00980345697188631
COMMONAREA_MEDI,0.009753571236425125
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.009730106154405555
CNT_FAM_MEMBERS,0.009659183139258575
PREV_AMT_GOODS_PRICE_MEAN,0.00949409467353574
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,0.009469211921228127
INSTAL_DBD_MAX,0.009142307207290897
PREV_DAYS_DECISION_MAX,0.009109890172068669
PREV_PRODUCT_COMBINATION_CashXSellhigh_MEAN,0.009043678750346763
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.009018090410514528
PREV_AMT_CREDIT_MEAN,0.008878637394939472
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.008829191971523858
APPROVED_AMT_ANNUITY_MIN,0.00870618218890099
PREV_HOUR_APPR_PROCESS_START_MEAN,0.008678569887222593
BURO_STATUS_X_MEAN_MEAN,0.008669404799547836
BURO_STATUS_0_MEAN_MEAN,0.008592013453544656
INSTAL_AMT_INSTALMENT_SUM,0.008589820829880994
CLOSED_CNT_CREDIT_PROLONG_SUM,0.00853861187605086
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,0.008524618191129768
BURO_DAYS_CREDIT_ENDDATE_MIN,0.008521059692012918
BURO_AMT_CREDIT_SUM_DEBT_SUM,0.008490360667684526
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0.008450874998217091
CC_AMT_PAYMENT_CURRENT_SUM,0.008378678540997029
PREV_PRODUCT_COMBINATION_POSindustrywithinterest_MEAN,0.008337094065110054
PREV_AMT_ANNUITY_MIN,0.008308191915263764
BURO_CREDIT_TYPE_Creditcard_MEAN,0.008006944630888805
PREV_AMT_CREDIT_MAX,0.007956908273574205
